DBH,Boomsoort,Kroondiameter,Bron
5,Fijnspar,2.040998113,Hasenauer (1997)
10,Fijnspar,3.189598537,Hasenauer (1997)
15,Fijnspar,4.141487963,Hasenauer (1997)
20,Fijnspar,4.98459002,Hasenauer (1997)
25,Fijnspar,5.755051085,Hasenauer (1997)
30,Fijnspar,6.472168622,Hasenauer (1997)
35,Fijnspar,7.147764757,Hasenauer (1997)
40,Fijnspar,7.789738233,Hasenauer (1997)
45,Fijnspar,8.403693484,Hasenauer (1997)
50,Fijnspar,8.99378711,Hasenauer (1997)
55,Fijnspar,9.56320866,Hasenauer (1997)
60,Fijnspar,10.11447264,Hasenauer (1997)
65,Fijnspar,10.64960541,Hasenauer (1997)
70,Fijnspar,11.17027001,Hasenauer (1997)
75,Fijnspar,11.67785244,Hasenauer (1997)
80,Fijnspar,12.1735231,Hasenauer (1997)
85,Fijnspar,12.65828162,Hasenauer (1997)
90,Fijnspar,13.13299031,Hasenauer (1997)
95,Fijnspar,13.59839955,Hasenauer (1997)
100,Fijnspar,14.05516743,Hasenauer (1997)
5,Zilverden,2.606159279,Hasenauer (1997)
10,Zilverden,3.784034544,Hasenauer (1997)
15,Zilverden,4.706436351,Hasenauer (1997)
20,Zilverden,5.494260287,Hasenauer (1997)
25,Zilverden,6.195078545,Hasenauer (1997)
30,Zilverden,6.833549228,Hasenauer (1997)
35,Zilverden,7.424439971,Hasenauer (1997)
40,Zilverden,7.977436716,Hasenauer (1997)
45,Zilverden,8.499305204,Hasenauer (1997)
50,Zilverden,8.994995588,Hasenauer (1997)
55,Zilverden,9.468260961,Hasenauer (1997)
60,Zilverden,9.922028383,Hasenauer (1997)
65,Zilverden,10.35863375,Hasenauer (1997)
70,Zilverden,10.77997709,Hasenauer (1997)
75,Zilverden,11.1876289,Hasenauer (1997)
80,Zilverden,11.58290529,Hasenauer (1997)
85,Zilverden,11.96692239,Hasenauer (1997)
90,Zilverden,12.34063656,Hasenauer (1997)
95,Zilverden,12.70487487,Hasenauer (1997)
100,Zilverden,13.06035832,Hasenauer (1997)
5,Lariks,2.135112818,Hasenauer (1997)
10,Lariks,3.426206968,Hasenauer (1997)
15,Lariks,4.518150154,Hasenauer (1997)
20,Lariks,5.498020565,Hasenauer (1997)
25,Lariks,6.402182676,Hasenauer (1997)
30,Lariks,7.250257413,Hasenauer (1997)
35,Lariks,8.054363404,Hasenauer (1997)
40,Lariks,8.822651528,Hasenauer (1997)
45,Lariks,9.560937784,Hasenauer (1997)
50,Lariks,10.27355684,Hasenauer (1997)
55,Lariks,10.96384929,Hasenauer (1997)
60,Lariks,11.63445896,Hasenauer (1997)
65,Lariks,12.28752395,Hasenauer (1997)
70,Lariks,12.92480462,Hasenauer (1997)
75,Lariks,13.54777246,Hasenauer (1997)
80,Lariks,14.15767348,Hasenauer (1997)
85,Lariks,14.75557463,Hasenauer (1997)
90,Lariks,15.34239848,Hasenauer (1997)
95,Lariks,15.91894968,Hasenauer (1997)
100,Lariks,16.48593541,Hasenauer (1997)
5,Grove den,2.29087706,Hasenauer (1997)
10,Grove den,3.537180984,Hasenauer (1997)
15,Grove den,4.560512744,Hasenauer (1997)
20,Grove den,5.461510587,Hasenauer (1997)
25,Grove den,6.281252978,Hasenauer (1997)
30,Grove den,7.041564665,Hasenauer (1997)
35,Grove den,7.755766492,Hasenauer (1997)
40,Grove den,8.43273161,Hasenauer (1997)
45,Grove den,9.07873969,Hasenauer (1997)
50,Grove den,9.698437766,Hasenauer (1997)
55,Grove den,10.2953847,Hasenauer (1997)
60,Grove den,10.87238118,Hasenauer (1997)
65,Grove den,11.43168061,Hasenauer (1997)
70,Grove den,11.97512963,Hasenauer (1997)
75,Grove den,12.50426518,Hasenauer (1997)
80,Grove den,13.02038351,Hasenauer (1997)
85,Grove den,13.52459044,Hasenauer (1997)
90,Grove den,14.01783883,Hasenauer (1997)
95,Grove den,14.50095701,Hasenauer (1997)
100,Grove den,14.97467073,Hasenauer (1997)
5,Zwarte den,2.359749154,Hasenauer (1997)
10,Zwarte den,3.654397342,Hasenauer (1997)
15,Zwarte den,4.719862543,Hasenauer (1997)
20,Zwarte den,5.659338794,Hasenauer (1997)
25,Zwarte den,6.515022379,Hasenauer (1997)
30,Zwarte den,7.309358752,Hasenauer (1997)
35,Zwarte den,8.05606019,Hasenauer (1997)
40,Zwarte den,8.764267427,Hasenauer (1997)
45,Zwarte den,9.440453611,Hasenauer (1997)
50,Zwarte den,10.08941159,Hasenauer (1997)
55,Zwarte den,10.71481368,Hasenauer (1997)
60,Zwarte den,11.31955113,Hasenauer (1997)
65,Zwarte den,11.9059511,Hasenauer (1997)
70,Zwarte den,12.47592139,Hasenauer (1997)
75,Zwarte den,13.03105037,Hasenauer (1997)
80,Zwarte den,13.57267807,Hasenauer (1997)
85,Zwarte den,14.10194799,Hasenauer (1997)
90,Zwarte den,14.61984573,Hasenauer (1997)
95,Zwarte den,15.1272283,Hasenauer (1997)
100,Zwarte den,15.62484675,Hasenauer (1997)
5,Beuk,3.467558349,Hasenauer (1997)
10,Beuk,5.282131284,Hasenauer (1997)
15,Beuk,6.756655926,Hasenauer (1997)
20,Beuk,8.046270052,Hasenauer (1997)
25,Beuk,9.213791161,Hasenauer (1997)
30,Beuk,10.29241329,Hasenauer (1997)
35,Beuk,11.30231241,Hasenauer (1997)
40,Beuk,12.25688236,Hasenauer (1997)
45,Beuk,13.16557494,Hasenauer (1997)
50,Beuk,14.03536715,Hasenauer (1997)
55,Beuk,14.87159043,Hasenauer (1997)
60,Beuk,15.67843213,Hasenauer (1997)
65,Beuk,16.45925528,Hasenauer (1997)
70,Beuk,17.21681136,Hasenauer (1997)
75,Beuk,17.9533869,Hasenauer (1997)
80,Beuk,18.67090766,Hasenauer (1997)
85,Beuk,19.37101435,Hasenauer (1997)
90,Beuk,20.05511898,Hasenauer (1997)
95,Beuk,20.72444764,Hasenauer (1997)
100,Beuk,21.38007336,Hasenauer (1997)
5,Eik,2.18604965,Hasenauer (1997)
10,Eik,3.632911366,Hasenauer (1997)
15,Eik,4.889838065,Hasenauer (1997)
20,Eik,6.037394895,Hasenauer (1997)
25,Eik,7.109928621,Hasenauer (1997)
30,Eik,8.126232762,Hasenauer (1997)
35,Eik,9.098040489,Hasenauer (1997)
